"ID","City","ZIP","EV.DC.Fast.Count","EV.Network","Latitude","Longitude","EV.Connector.Types","Facility.Type","CNG.Dispenser.Num","CNG.On.Site.Renewable.Source","CNG.Total.Compression.Capacity","CNG.Storage.Capacity","LNG.On.Site.Renewable.Source","E85.Other.Ethanol.Blends","EV.Pricing","EV.Pricing..French.","LPG.Nozzle.Types","Hydrogen.Pressures","Hydrogen.Standards","CNG.Fill.Type.Code","CNG.PSI","CNG.Vehicle.Class","LNG.Vehicle.Class","MaxPower","EV_Connector_Code","ChargingCost","restaurants"
88018,"SeaTac",98188,4,"ChargePoint Network",47.436037,-122.296325,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,11
92472,"Seattle",98122,2,"ChargePoint Network",47.6155533,-122.3228502,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,96
92487,"Edmonds",98026,2,"ChargePoint Network",47.7811507,-122.3457541,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"$6 per session",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,11
93034,"Bellevue",98007,6,"eVgo Network",47.58083,-122.14364,"CHADEMO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,8
93038,"Bellevue",98007,2,"eVgo Network",47.580831,-122.143644,"CHADEMO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,8
93051,"Kirkland",98034,2,"eVgo Network",47.707269,-122.17484,"CHADEMO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,17
93088,"Redmond",98052,4,"eVgo Network",47.671445,-122.119418,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,38
93146,"Seattle",98109,4,"eVgo Network",47.620663,-122.329521,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,31
93172,"Ritzville",99169,2,"eVgo Network",47.11857,-118.36556,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,7
93339,"Tacoma",98409,6,"eVgo Network",47.21543,-122.47068,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,25
93343,"Quil Ceda Village",98271,2,"eVgo Network",48.093002,-122.189789,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,7
93352,"North Bend",98045,4,"eVgo Network",47.491363,-121.793109,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,7
93364,"Seattle",98125,2,"eVgo Network",47.7033,-122.32519,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,17
93443,"Seattle",98122,2,"eVgo Network",47.613457,-122.321919,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,98
93483,"Renton",98057,4,"eVgo Network",47.49818,-122.204308,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,17
93531,"Woodland",98674,2,"eVgo Network",45.928452,-122.762054,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,1
93550,"Mercer Island",98040,4,"eVgo Network",47.584831,-122.235771,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,25
93552,"Lynnwood",98036,2,"eVgo Network",47.820568,-122.273567,"CHADEMO J1772COMBO","",NA,NA,NA,NA,NA,NA,"DC fast: $5.95 per 30 minute session + $0.20 per minute",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,4
94394,"Seattle",98108,2,"ChargePoint Network",47.541946,-122.324328,"CHADEMO J1772 J1772COMBO","",NA,NA,NA,NA,NA,NA,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",NA,NA,NA,NA,NA,NA,NA,NA,50,3,3,3
95368,"Silverdale",98383,2,"Blink Network",47.652505,-122.694367,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,21
95621,"AUBURN",98002,2,"Blink Network",47.293216,-122.212814,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,4
95623,"AUBURN",98002,2,"Blink Network",47.3207,-122.219776,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,13
96282,"Bremerton",98312,2,"Blink Network",47.56825,-122.66705,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,7
96405,"Vancouver",98685,2,"Blink Network",45.720603,-122.663135,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,12
96406,"Vancouver",98661,2,"Blink Network",45.619627,-122.64478,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,8
96407,"Kirkland",98034,2,"Blink Network",47.708482,-122.183522,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,4
96412,"Seattle",98125,2,"Blink Network",47.723689,-122.292383,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,6
96505,"Auburn",98092,2,"Blink Network",47.245269,-122.206909,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,5
96628,"Fife",98424,2,"Blink Network",47.24198,-122.348098,"CHADEMO J1772","",NA,NA,NA,NA,NA,NA,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,1
